wavenumber_cm-1,reflectance_osc_%,baseline_%,dc_%
1556.755000,0.032509,15.946960,0.052467
1557.237000,0.013145,15.960823,0.052467
1557.719000,-0.004279,15.974687,0.052467
1558.201000,-0.019755,15.988550,0.052467
1558.683000,-0.033275,16.002414,0.052467
1559.165000,-0.044830,16.016278,0.052467
1559.647000,-0.054413,16.030142,0.052467
1560.129000,-0.062016,16.044006,0.052467
1560.611000,-0.067458,16.057870,0.052467
1561.093000,-0.069262,16.071734,0.052467
1561.575000,-0.070037,16.085597,0.052467
1562.057000,-0.069549,16.099460,0.052467
1562.539000,-0.069746,16.113321,0.052467
1563.021000,-0.067974,16.127179,0.052467
1563.503000,-0.068124,16.141033,0.052467
1563.985000,-0.068982,16.154882,0.052467
1564.467000,-0.068802,16.168726,0.052467
1564.949000,-0.068509,16.182561,0.052467
1565.431000,-0.067984,16.196388,0.052467
1565.913000,-0.067747,16.210204,0.052467
1566.395000,-0.066064,16.224007,0.052467
1566.877000,-0.062508,16.237795,0.052467
1567.359000,-0.058243,16.251566,0.052467
1567.841000,-0.052491,16.265318,0.052467
1568.323000,-0.045159,16.279047,0.052467
1568.805000,-0.037348,16.292752,0.052467
1569.287000,-0.029599,16.306431,0.052467
1569.769000,-0.018265,16.320081,0.052467
1570.251000,-0.008693,16.333699,0.052467
1570.733000,0.002621,16.347284,0.052467
1571.215000,0.014121,16.360833,0.052467
1571.697000,0.024367,16.374343,0.052467
1572.179000,0.031693,16.387812,0.052467
1572.661000,0.039389,16.401239,0.052467
1573.143000,0.045044,16.414620,0.052467
1573.625000,0.049489,16.427953,0.052467
1574.107000,0.058159,16.441236,0.052467
1574.589000,0.065828,16.454467,0.052467
1575.071000,0.078334,16.467644,0.052467
1575.553000,0.091595,16.480763,0.052467
1576.035000,0.106260,16.493824,0.052467
1576.517000,0.123904,16.506823,0.052467
1576.999000,0.138704,16.519758,0.052467
1577.481000,0.154878,16.532628,0.052467
1577.963000,0.169638,16.545429,0.052467
1578.445000,0.181088,16.558161,0.052467
1578.927000,0.189112,16.570820,0.052467
1579.409000,0.193448,16.583405,0.052467
1579.891000,0.195642,16.595913,0.052467
1580.373000,0.198812,16.608342,0.052467
1580.855000,0.203199,16.620691,0.052467
1581.337000,0.204470,16.632957,0.052467
1581.819000,0.209461,16.645138,0.052467
1582.301000,0.212678,16.657233,0.052467
1582.783000,0.218861,16.669239,0.052467
1583.265000,0.224754,16.681154,0.052467
1583.747000,0.230864,16.692977,0.052467
1584.229000,0.241155,16.704706,0.052467
1584.711000,0.251653,16.716338,0.052467
1585.193000,0.261454,16.727873,0.052467
1585.675000,0.270548,16.739307,0.052467
1586.157000,0.280050,16.750640,0.052467
1586.639000,0.290628,16.761870,0.052467
1587.121000,0.298857,16.772995,0.052467
1587.603000,0.306364,16.784014,0.052467
1588.085000,0.314525,16.794924,0.052467
1588.567000,0.323281,16.805725,0.052467
1589.049000,0.329719,16.816414,0.052467
1589.531000,0.336678,16.826990,0.052467
1590.013000,0.340112,16.837452,0.052467
1590.495000,0.343387,16.847799,0.052467
1590.977000,0.347093,16.858028,0.052467
1591.459000,0.348532,16.868139,0.052467
1591.941000,0.348886,16.878130,0.052467
1592.423000,0.346223,16.888000,0.052467
1592.905000,0.344954,16.897748,0.052467
1593.387000,0.340327,16.907372,0.052467
1593.869000,0.332328,16.916872,0.052467
1594.351000,0.327131,16.926246,0.052467
1594.833000,0.323014,16.935494,0.052467
1595.315000,0.318503,16.944613,0.052467
1595.797000,0.313264,16.953604,0.052467
1596.279000,0.309523,16.962465,0.052467
1596.761000,0.305920,16.971195,0.052467
1597.243000,0.301659,16.979794,0.052467
1597.725000,0.299350,16.988261,0.052467
1598.207000,0.295202,16.996594,0.052467
1598.689000,0.293093,17.004793,0.052467
1599.171000,0.289268,17.012858,0.052467
1599.653000,0.288059,17.020787,0.052467
1600.135000,0.285883,17.028579,0.052467
1600.617000,0.283541,17.036236,0.052467
1601.099000,0.283623,17.043754,0.052467
1601.581000,0.281897,17.051135,0.052467
1602.063000,0.281365,17.058378,0.052467
1602.545000,0.279860,17.065481,0.052467
1603.027000,0.278818,17.072445,0.052467
1603.509000,0.277441,17.079269,0.052467
1603.991000,0.272169,17.085952,0.052467
1604.473000,0.270425,17.092495,0.052467
1604.955000,0.267247,17.098897,0.052467
1605.437000,0.264656,17.105158,0.052467
1605.919000,0.261928,17.111277,0.052467
1606.401000,0.261199,17.117254,0.052467
1606.883000,0.257418,17.123089,0.052467
1607.365000,0.250940,17.128782,0.052467
1607.847000,0.244121,17.134332,0.052467
1608.329000,0.235929,17.139740,0.052467
1608.811000,0.229406,17.145005,0.052467
1609.293000,0.220212,17.150127,0.052467
1609.775000,0.211069,17.155107,0.052467
1610.257000,0.201648,17.159944,0.052467
1610.739000,0.191690,17.164638,0.052467
1611.221000,0.186828,17.169190,0.052467
1611.703000,0.180685,17.173599,0.052467
1612.185000,0.174878,17.177865,0.052467
1612.667000,0.170246,17.181990,0.052467
1613.149000,0.165470,17.185971,0.052467
1613.631000,0.161773,17.189811,0.052467
1614.113000,0.155431,17.193509,0.052467
1614.595000,0.149768,17.197065,0.052467
1615.077000,0.144493,17.200480,0.052467
1615.559000,0.136154,17.203753,0.052467
1616.041000,0.126316,17.206886,0.052467
1616.523000,0.117035,17.209877,0.052467
1617.005000,0.108763,17.212729,0.052467
1617.487000,0.098580,17.215440,0.052467
1617.969000,0.087714,17.218012,0.052467
1618.451000,0.077153,17.220444,0.052467
1618.933000,0.068263,17.222737,0.052467
1619.415000,0.061182,17.224891,0.052467
1619.897000,0.056785,17.226908,0.052467
1620.379000,0.055050,17.228786,0.052467
1620.861000,0.049643,17.230527,0.052467
1621.343000,0.044999,17.232131,0.052467
1621.825000,0.040752,17.233598,0.052467
1622.307000,0.035423,17.234929,0.052467
1622.789000,0.032806,17.236125,0.052467
1623.271000,0.028907,17.237185,0.052467
1623.753000,0.026165,17.238110,0.052467
1624.235000,0.020714,17.238901,0.052467
1624.717000,0.015626,17.239559,0.052467
1625.199000,0.013574,17.240083,0.052467
1625.681000,0.011363,17.240474,0.052467
1626.163000,0.009722,17.240733,0.052467
1626.645000,0.008370,17.240860,0.052467
1627.127000,0.007056,17.240856,0.052467
1627.609000,0.005753,17.240721,0.052467
1628.091000,0.004154,17.240455,0.052467
1628.573000,0.004184,17.240061,0.052467
1629.055000,0.005083,17.239536,0.052467
1629.537000,0.007159,17.238884,0.052467
1630.019000,0.009235,17.238103,0.052467
1630.501000,0.014542,17.237195,0.052467
1630.983000,0.020219,17.236160,0.052467
1631.465000,0.028066,17.234998,0.052467
1631.947000,0.036991,17.233711,0.052467
1632.429000,0.045025,17.232298,0.052467
1632.911000,0.052325,17.230761,0.052467
1633.393000,0.060046,17.229100,0.052467
1633.875000,0.068676,17.227315,0.052467
1634.357000,0.074757,17.225408,0.052467
1634.839000,0.078339,17.223379,0.052467
1635.321000,0.079715,17.221228,0.052467
1635.803000,0.079582,17.218956,0.052467
1636.285000,0.080414,17.216564,0.052467
1636.767000,0.078467,17.214053,0.052467
1637.249000,0.076147,17.211423,0.052467
1637.731000,0.075324,17.208675,0.052467
1638.213000,0.077318,17.205810,0.052467
1638.695000,0.077163,17.202828,0.052467
1639.177000,0.078905,17.199731,0.052467
1639.659000,0.081574,17.196518,0.052467
1640.141000,0.084924,17.193191,0.052467
1640.623000,0.090800,17.189751,0.052467
1641.105000,0.093847,17.186198,0.052467
1641.587000,0.096123,17.182534,0.052467
1642.069000,0.097266,17.178758,0.052467
1642.551000,0.099333,17.174872,0.052467
1643.033000,0.101234,17.170878,0.052467
1643.515000,0.100315,17.166774,0.052467
1643.997000,0.099884,17.162564,0.052467
1644.479000,0.098635,17.158246,0.052467
1644.961000,0.094881,17.153824,0.052467
1645.443000,0.087614,17.149296,0.052467
1645.925000,0.082009,17.144665,0.052467
1646.407000,0.074595,17.139931,0.052467
1646.889000,0.066072,17.135095,0.052467
1647.371000,0.059533,17.130159,0.052467
1647.853000,0.052304,17.125123,0.052467
1648.335000,0.046070,17.119988,0.052467
1648.817000,0.043785,17.114755,0.052467
