wavenumber_cm-1,reflectance_%
1556.755000,16.031937
1557.237000,16.026434
1557.719000,16.022873
1558.201000,16.021261
1558.683000,16.021605
1559.165000,16.023915
1559.647000,16.028196
1560.129000,16.034458
1560.611000,16.042881
1561.093000,16.054940
1561.575000,16.068029
1562.057000,16.082379
1562.539000,16.096043
1563.021000,16.111673
1563.503000,16.125377
1563.985000,16.138368
1564.467000,16.152392
1564.949000,16.166521
1565.431000,16.180872
1565.913000,16.194925
1566.395000,16.210411
1566.877000,16.227755
1567.359000,16.245790
1567.841000,16.265293
1568.323000,16.286355
1568.805000,16.307871
1569.287000,16.329299
1569.769000,16.354283
1570.251000,16.377473
1570.733000,16.402372
1571.215000,16.427420
1571.697000,16.451176
1572.179000,16.471971
1572.661000,16.493094
1573.143000,16.512131
1573.625000,16.529909
1574.107000,16.551862
1574.589000,16.572762
1575.071000,16.598445
1575.553000,16.624825
1576.035000,16.652550
1576.517000,16.683193
1576.999000,16.710929
1577.481000,16.739972
1577.963000,16.767534
1578.445000,16.791715
1578.927000,16.812398
1579.409000,16.829319
1579.891000,16.844021
1580.373000,16.859621
1580.855000,16.876356
1581.337000,16.889894
1581.819000,16.907065
1582.301000,16.922377
1582.783000,16.940567
1583.265000,16.958374
1583.747000,16.976308
1584.229000,16.998327
1584.711000,17.020458
1585.193000,17.041793
1585.675000,17.062322
1586.157000,17.083157
1586.639000,17.104965
1587.121000,17.124319
1587.603000,17.142844
1588.085000,17.161915
1588.567000,17.181472
1589.049000,17.198599
1589.531000,17.216134
1590.013000,17.230031
1590.495000,17.243652
1590.977000,17.257587
1591.459000,17.269137
1591.941000,17.279482
1592.423000,17.286689
1592.905000,17.295168
1593.387000,17.300166
1593.869000,17.301666
1594.351000,17.305844
1594.833000,17.310973
1595.315000,17.315582
1595.797000,17.319335
1596.279000,17.324455
1596.761000,17.329582
1597.243000,17.333920
1597.725000,17.340077
1598.207000,17.344262
1598.689000,17.350353
1599.171000,17.354592
1599.653000,17.361312
1600.135000,17.366929
1600.617000,17.372243
1601.099000,17.379844
1601.581000,17.385499
1602.063000,17.392209
1602.545000,17.397807
1603.027000,17.403729
1603.509000,17.409176
1603.991000,17.410588
1604.473000,17.415386
1604.955000,17.418611
1605.437000,17.422280
1605.919000,17.425671
1606.401000,17.430919
1606.883000,17.432973
1607.365000,17.432188
1607.847000,17.430919
1608.329000,17.428135
1608.811000,17.426877
1609.293000,17.422806
1609.775000,17.418642
1610.257000,17.414058
1610.739000,17.408795
1611.221000,17.408485
1611.703000,17.406750
1612.185000,17.405210
1612.667000,17.404702
1613.149000,17.403908
1613.631000,17.404051
1614.113000,17.401406
1614.595000,17.399299
1615.077000,17.397439
1615.559000,17.392374
1616.041000,17.385668
1616.523000,17.379379
1617.005000,17.373958
1617.487000,17.366487
1617.969000,17.358192
1618.451000,17.350063
1618.933000,17.343467
1619.415000,17.338540
1619.897000,17.336160
1620.379000,17.336303
1620.861000,17.332637
1621.343000,17.329596
1621.825000,17.326816
1622.307000,17.322819
1622.789000,17.321397
1623.271000,17.318559
1623.753000,17.316742
1624.235000,17.312082
1624.717000,17.307651
1625.199000,17.306123
1625.681000,17.304304
1626.163000,17.302922
1626.645000,17.301696
1627.127000,17.300378
1627.609000,17.298941
1628.091000,17.297076
1628.573000,17.296711
1629.055000,17.297086
1629.537000,17.298509
1630.019000,17.299804
1630.501000,17.304204
1630.983000,17.308845
1631.465000,17.315530
1631.947000,17.323168
1632.429000,17.329790
1632.911000,17.335553
1633.393000,17.341613
1633.875000,17.348458
1634.357000,17.352632
1634.839000,17.354185
1635.321000,17.353410
1635.803000,17.351005
1636.285000,17.349445
1636.767000,17.344986
1637.249000,17.340037
1637.731000,17.336466
1638.213000,17.335594
1638.695000,17.332458
1639.177000,17.331102
1639.659000,17.330558
1640.141000,17.330582
1640.623000,17.333018
1641.105000,17.332511
1641.587000,17.331124
1642.069000,17.328490
1642.551000,17.326672
1643.033000,17.324578
1643.515000,17.319556
1643.997000,17.314915
1644.479000,17.309348
1644.961000,17.301171
1645.443000,17.289376
1645.925000,17.279140
1646.407000,17.266992
1646.889000,17.253633
1647.371000,17.242158
1647.853000,17.229893
1648.335000,17.218524
1648.817000,17.211006
1649.299000,17.206566
1649.781000,17.203348
1650.263000,17.201246
1650.745000,17.196090
1651.227000,17.186116
1651.709000,17.172053
1652.191000,17.154225
1652.673000,17.138014
1653.155000,17.122054
1653.637000,17.105161
1654.119000,17.092295
1654.601000,17.082713
1655.083000,17.076367
1655.565000,17.077504
1656.047000,17.081849
1656.529000,17.087107
1657.011000,17.093142
1657.493000,17.096312
1657.975000,17.097077
1658.457000,17.095724
1658.939000,17.091013
1659.421000,17.086345
1659.903000,17.080598
1660.385000,17.070997
1660.867000,17.063170
1661.349000,17.053601
1661.831000,17.042654
1662.313000,17.035171
1662.795000,17.025896
1663.277000,17.016325
1663.759000,17.009810
1664.241000,17.005248
1664.723000,17.002509
1665.205000,17.001030
1665.687000,16.999935
1666.169000,17.000020
1666.651000,17.000377
1667.133000,16.998263
1667.615000,16.994219
1668.097000,16.988507
1668.579000,16.980106
1669.061000,16.971048
1669.543000,16.961423
1670.025000,16.950852
1670.507000,16.939700
1670.989000,16.927190
1671.471000,16.914061
1671.953000,16.898807
1672.435000,16.883559
1672.917000,16.867003
1673.399000,16.849610
1673.881000,16.832687
1674.363000,16.812002
1674.845000,16.793416
1675.327000,16.775512
1675.809000,16.760731
1676.291000,16.748683
1676.773000,16.736719
1677.255000,16.727792
1677.737000,16.719311
1678.219000,16.711866
1678.701000,16.706881
1679.183000,16.703274
1679.665000,16.698926
1680.147000,16.694637
1680.629000,16.688572
1681.111000,16.681045
1681.593000,16.673649
1682.075000,16.661883
1682.557000,16.649251
1683.039000,16.633350
1683.521000,16.616287
1684.003000,16.599148
1684.485000,16.580486
1684.967000,16.562460
1685.449000,16.547995
1685.931000,16.535235
1686.413000,16.523887
1686.895000,16.513929
1687.377000,16.505500
1687.859000,16.500019
1688.341000,16.492807
1688.823000,16.484505
1689.305000,16.478299
1689.787000,16.471656
1690.269000,16.463868
1690.751000,16.456168
1691.233000,16.447255
1691.715000,16.437295
1692.197000,16.431455
1692.679000,16.425282
1693.161000,16.418841
1693.643000,16.412269
1694.125000,16.406005
1694.607000,16.400294
1695.089000,16.395464
1695.571000,16.392328
1696.053000,16.389304
1696.535000,16.387604
1697.017000,16.383793
1697.499000,16.376333
1697.981000,16.366583
1698.463000,16.353880
1698.945000,16.340477
1699.427000,16.324092
1699.909000,16.308529
1700.391000,16.293622
1700.873000,16.279735
1701.355000,16.267528
1701.837000,16.257577
1702.319000,16.248904
1702.801000,16.242924
1703.283000,16.237966
1703.765000,16.230306
1704.247000,16.221363
1704.729000,16.212290
1705.211000,16.203058
1705.693000,16.195220
1706.175000,16.187837
1706.657000,16.181872
1707.139000,16.176896
1707.621000,16.173680
1708.103000,16.170498
1708.585000,16.168035
1709.067000,16.166682
1709.549000,16.165436
1710.031000,16.162327
1710.513000,16.159216
1710.995000,16.156898
1711.477000,16.154752
1711.959000,16.155093
1712.441000,16.155184
1712.923000,16.155342
1713.405000,16.153796
1713.887000,16.154127
1714.369000,16.153965
1714.851000,16.150762
1715.333000,16.144731
1715.815000,16.134131
1716.297000,16.117770
1716.779000,16.099660
1717.261000,16.081149
1717.743000,16.062764
1718.225000,16.044771
1718.707000,16.028619
1719.189000,16.016195
1719.671000,16.007335
1720.153000,16.000406
1720.635000,15.999523
1721.117000,16.001122
1721.599000,16.003083
1722.081000,16.004326
1722.563000,16.003928
1723.045000,16.002308
1723.527000,16.000586
1724.009000,15.999013
1724.491000,15.995890
1724.973000,15.991926
1725.455000,15.988288
1725.937000,15.986573
1726.419000,15.985000
1726.901000,15.983794
1727.383000,15.984918
1727.865000,15.986959
1728.347000,15.988511
1728.829000,15.990146
1729.311000,15.992635
1729.793000,15.993341
1730.275000,15.990939
1730.757000,15.989533
1731.239000,15.985767
1731.721000,15.982133
1732.203000,15.977504
1732.685000,15.971717
1733.167000,15.967095
1733.649000,15.962163
1734.131000,15.960032
1734.613000,15.961600
1735.095000,15.965177
1735.577000,15.969791
1736.059000,15.977336
1736.541000,15.984471
1737.023000,15.991715
1737.505000,16.001921
1737.987000,16.008472
1738.469000,16.015361
1738.951000,16.019115
1739.433000,16.021848
1739.915000,16.022571
1740.397000,16.023478
1740.879000,16.025955
1741.361000,16.029563
1741.843000,16.031276
1742.325000,16.033313
1742.807000,16.036191
1743.289000,16.041776
1743.771000,16.047488
1744.253000,16.053746
1744.735000,16.061527
1745.217000,16.069899
1745.699000,16.078511
1746.181000,16.087630
1746.663000,16.096593
1747.145000,16.104319
1747.627000,16.109423
1748.109000,16.111042
1748.591000,16.111665
1749.073000,16.110970
1749.555000,16.109075
1750.037000,16.110038
1750.519000,16.109192
1751.001000,16.109923
1751.483000,16.114353
1751.965000,16.119866
1752.447000,16.128350
1752.929000,16.138285
1753.411000,16.150017
1753.893000,16.159176
1754.375000,16.169540
1754.857000,16.180336
1755.339000,16.190491
1755.821000,16.201562
1756.303000,16.213266
1756.785000,16.226003
1757.267000,16.235168
1757.749000,16.245441
1758.231000,16.254219
1758.713000,16.264049
1759.195000,16.273159
1759.677000,16.282552
1760.159000,16.290791
1760.641000,16.298999
1761.123000,16.307764
1761.605000,16.317109
1762.087000,16.327224
1762.569000,16.340489
1763.051000,16.353274
1763.533000,16.366120
1764.015000,16.378323
1764.497000,16.391313
1764.979000,16.404127
1765.461000,16.418564
1765.943000,16.432334
1766.425000,16.446677
1766.907000,16.458625
1767.389000,16.471492
1767.871000,16.483083
1768.353000,16.495481
1768.835000,16.507952
1769.317000,16.519893
1769.799000,16.530700
1770.281000,16.540784
1770.763000,16.551248
1771.245000,16.558919
1771.727000,16.568782
1772.209000,16.579233
1772.691000,16.590029
1773.173000,16.600714
1773.655000,16.612281
1774.137000,16.625228
1774.619000,16.638376
1775.101000,16.653192
1775.583000,16.666507
1776.065000,16.680630
1776.547000,16.695166
1777.029000,16.709964
1777.511000,16.724933
1777.993000,16.737303
1778.475000,16.751973
1778.957000,16.764797
1779.439000,16.776764
1779.921000,16.790251
1780.403000,16.806003
1780.885000,16.820403
1781.367000,16.835074
1781.849000,16.848697
1782.331000,16.860101
1782.813000,16.873630
1783.295000,16.888098
1783.777000,16.902586
1784.259000,16.915144
1784.741000,16.927574
1785.223000,16.943503
1785.705000,16.958740
1786.187000,16.976085
1786.669000,16.996027
1787.151000,17.016660
1787.633000,17.035152
1788.115000,17.053978
1788.597000,17.072990
1789.079000,17.092745
1789.561000,17.113674
1790.043000,17.131499
1790.525000,17.146496
1791.007000,17.162095
1791.489000,17.178616
1791.971000,17.196149
1792.453000,17.211411
1792.935000,17.226047
1793.417000,17.240822
1793.899000,17.254707
1794.381000,17.266135
1794.863000,17.277706
1795.345000,17.290088
1795.827000,17.302832
1796.309000,17.314036
1796.791000,17.323440
1797.273000,17.333344
1797.755000,17.346099
1798.237000,17.358930
1798.719000,17.372227
1799.201000,17.384987
1799.683000,17.400126
1800.165000,17.415738
1800.647000,17.431584
1801.129000,17.447145
1801.611000,17.462610
1802.093000,17.476379
1802.575000,17.490521
1803.057000,17.503540
1803.539000,17.516022
1804.021000,17.528158
1804.503000,17.539866
1804.985000,17.552292
1805.467000,17.563859
1805.949000,17.575430
1806.431000,17.586970
1806.913000,17.599121
1807.395000,17.612534
1807.877000,17.625256
1808.359000,17.636431
1808.841000,17.647241
1809.323000,17.659492
1809.805000,17.671015
1810.287000,17.681263
1810.769000,17.693054
1811.251000,17.706332
1811.733000,17.720481
1812.215000,17.732748
1812.697000,17.745394
1813.179000,17.756760
1813.661000,17.770894
1814.143000,17.785137
1814.625000,17.797029
1815.107000,17.807192
1815.589000,17.819323
1816.071000,17.832669
1816.553000,17.843051
1817.035000,17.854331
1817.517000,17.867311
1817.999000,17.881117
1818.481000,17.892505
1818.963000,17.902784
1819.445000,17.912303
1819.927000,17.921188
1820.409000,17.931036
1820.891000,17.939377
1821.373000,17.945498
1821.855000,17.952821
1822.337000,17.962540
1822.819000,17.972120
1823.301000,17.979242
1823.783000,17.987857
1824.265000,17.997374
1824.747000,18.007692
1825.229000,18.016381
1825.711000,18.026017
1826.193000,18.035213
1826.675000,18.045394
1827.157000,18.054295
1827.639000,18.063422
1828.121000,18.072369
1828.603000,18.082163
1829.085000,18.091731
1829.567000,18.101326
1830.049000,18.110670
1830.531000,18.119821
1831.013000,18.129498
1831.495000,18.138184
1831.977000,18.146045
1832.459000,18.155175
1832.941000,18.163309
1833.423000,18.170469
1833.905000,18.177334
1834.387000,18.183930
1834.869000,18.188983
1835.351000,18.192916
1835.833000,18.196839
1836.315000,18.203924
1836.797000,18.209239
1837.279000,18.213673
1837.761000,18.215885
1838.243000,18.219286
1838.725000,18.223947
1839.207000,18.228916
1839.689000,18.233067
1840.171000,18.237217
1840.653000,18.242065
1841.135000,18.245873
1841.617000,18.250072
1842.099000,18.254231
1842.581000,18.257710
1843.063000,18.263180
1843.545000,18.267184
1844.027000,18.272949
1844.509000,18.277645
1844.991000,18.283856
1845.473000,18.289580
1845.955000,18.294067
1846.437000,18.296615
1846.919000,18.300576
1847.401000,18.305350
1847.883000,18.309838
1848.365000,18.310584
1848.847000,18.312043
1849.329000,18.313086
1849.811000,18.313280
1850.293000,18.314107
1850.775000,18.314464
1851.257000,18.310967
1851.739000,18.307266
1852.221000,18.305066
1852.703000,18.303309
1853.185000,18.302101
1853.667000,18.304156
1854.149000,18.306354
1854.631000,18.307467
1855.113000,18.308052
1855.595000,18.310745
1856.077000,18.313261
1856.559000,18.314467
1857.041000,18.315461
1857.523000,18.314597
1858.005000,18.313797
1858.487000,18.313311
1858.969000,18.314371
1859.451000,18.313598
1859.933000,18.313742
1860.415000,18.314351
1860.897000,18.315067
1861.379000,18.316502
1861.861000,18.317989
1862.343000,18.319447
1862.825000,18.321325
1863.307000,18.323590
1863.789000,18.326470
1864.271000,18.328748
1864.753000,18.333524
1865.235000,18.334805
1865.717000,18.336597
1866.199000,18.338442
1866.681000,18.337411
1867.163000,18.333764
1867.645000,18.327268
1868.127000,18.320760
1868.609000,18.313587
1869.091000,18.307600
1869.573000,18.301631
1870.055000,18.294514
1870.537000,18.288159
1871.019000,18.280779
1871.501000,18.276703
1871.983000,18.271434
1872.465000,18.268669
1872.947000,18.265870
1873.429000,18.259934
1873.911000,18.254337
1874.393000,18.248948
1874.875000,18.246567
1875.357000,18.243875
1875.839000,18.240541
1876.321000,18.236353
1876.803000,18.229179
1877.285000,18.223431
1877.767000,18.216834
1878.249000,18.211533
1878.731000,18.204118
1879.213000,18.198712
1879.695000,18.191915
1880.177000,18.184165
1880.659000,18.178561
1881.141000,18.172705
1881.623000,18.167392
1882.105000,18.159315
1882.587000,18.150406
1883.069000,18.142491
1883.551000,18.134516
1884.033000,18.127308
1884.515000,18.119304
1884.997000,18.111684
1885.479000,18.104415
1885.961000,18.100740
1886.443000,18.094396
1886.925000,18.086815
1887.407000,18.081554
1887.889000,18.074161
1888.371000,18.066039
1888.853000,18.056585
1889.335000,18.047429
1889.817000,18.039367
1890.299000,18.031462
1890.781000,18.022603
1891.263000,18.014959
1891.745000,18.007383
1892.227000,18.000116
1892.709000,17.995549
1893.191000,17.987891
1893.673000,17.977823
1894.155000,17.967678
1894.637000,17.956666
1895.119000,17.944580
1895.601000,17.932474
1896.083000,17.921213
1896.565000,17.911893
1897.047000,17.902663
1897.529000,17.891714
1898.011000,17.881362
1898.493000,17.870969
1898.975000,17.861160
1899.457000,17.852858
1899.939000,17.843161
1900.421000,17.834365
1900.903000,17.827312
1901.385000,17.819203
1901.867000,17.810334
1902.349000,17.801311
1902.831000,17.794873
1903.313000,17.788639
1903.795000,17.780208
1904.277000,17.769456
1904.759000,17.758356
1905.241000,17.748702
1905.723000,17.738887
1906.205000,17.727071
